,vote_link,Nombre:,Status,Date,Tipo,Camara,Comision,Votos,Absenciones,click
0,https://congresovisible.uniandes.edu.co/votaciones/14335/,"['“Aprobación del artículo 181 con la proposición avalada.  Proyecto de ley 178 de 2016 Cámara, 163 de 2016 ']",aprobado,['Dic 21 d 2016'],['Proposiciones'],['Cámara de Representantes'],[],106,0,OK
0,https://congresovisible.uniandes.edu.co/votaciones/14336/,"['“Aprobación de la proposición sobre el artículo 184. Proyecto de ley 178 de 2016 Cámara, 163 de 2016 ']",denegado,['Dic 21 d 2016'],['Proposiciones'],['Cámara de Representantes'],[],114,0,OK
0,https://congresovisible.uniandes.edu.co/votaciones/14338/,"['“Aprobación del artículo 184 como viene en la ponencia con la proposición avalada ya leída. Proyecto de ley 178 de 2016 Cámara, 163 de 2016 ']",denegado,['Dic 21 d 2016'],['Proposiciones'],['Cámara de Representantes'],[],109,0,OK
0,https://congresovisible.uniandes.edu.co/votaciones/14339/,"['“Aprobación de la proposición que buscaba eliminar el artículo 321. Proyecto de ley 178 de 2016 Cámara, 163 de 2016 ']",denegado,['Dic 21 d 2016'],['Proposiciones'],['Cámara de Representantes'],[],111,0,OK
0,https://congresovisible.uniandes.edu.co/votaciones/14340/,"['“Aprobación del artículo 336 como viene en la ponencia. Proyecto de ley 178 de 2016 Cámara, 163 de 2016 ']",aprobado,['Dic 21 d 2016'],['Proyecto de Ley'],['Cámara de Representantes'],[],106,0,OK
0,https://congresovisible.uniandes.edu.co/votaciones/14341/,"['“Aprobación de la proposición del artículo 1º .  Proyecto de ley 178 de 2016 Cámara, 163 de 2016 ']",denegado,['Dic 21 d 2016'],['Proposiciones'],['Cámara de Representantes'],[],108,0,OK
0,https://congresovisible.uniandes.edu.co/votaciones/14344/,"['“Aprobación el artículo 180 como viene en la ponencia. Proyecto de ley 178 de 2016 Cámara, 163 de 2016 ']",aprobado,['Dic 21 d 2016'],['Proyecto de Ley'],['Cámara de Representantes'],[],105,0,OK
0,https://congresovisible.uniandes.edu.co/votaciones/14345/,"['“Aprobación de la proposición que fue leída previamente sobre el artículo 321 y reemplaza o sustituye este artículo. Proyecto de ley 178 de 2016 Cámara, 163 de 2016 ']",aprobado,['Dic 21 d 2016'],['Proposiciones'],['Cámara de Representantes'],[],114,0,OK
0,https://congresovisible.uniandes.edu.co/votaciones/14319/,"['“Aprobación del artículo 13 con la proposición presentada, Proyecto de ley 178 de 2016 Cámara, 163 de 2016 ']",aprobado,['Dic 21 d 2016'],['Proposiciones'],['Cámara de Representantes'],[],96,0,OK
0,https://congresovisible.uniandes.edu.co/votaciones/14320/,"['“Aprobación de proposiciones que buscaban eliminar los artículos 202, 208, 209, 210, 211, 212, 213, 214, 215, 216 y 218. Proyecto de ley 178 de 2016 Cámara, 163 de 2016 ']",denegado,['Dic 21 d 2016'],['Proposiciones'],['Cámara de Representantes'],[],91,0,OK
0,https://congresovisible.uniandes.edu.co/votaciones/14321/,"['“Aprobación de los artículos 202, 208, 209, 210, 211, 212, 213, 214, 215, 216 y 218  como vienen en la ponencia. Proyecto de ley 178 de 2016 Cámara, 163 de 2016 ']",aprobado,['Dic 21 d 2016'],['Proyecto de Ley'],['Cámara de Representantes'],[],91,0,OK
0,https://congresovisible.uniandes.edu.co/votaciones/14322/,"['“Aprobación de la proposición para eliminar el artículo 217, Proyecto de ley 178 de 2016 Cámara, 163 de 2016 ']",denegado,['Dic 21 d 2016'],['Proposiciones'],['Cámara de Representantes'],[],99,0,OK
0,https://congresovisible.uniandes.edu.co/votaciones/14323/,"['“Aprobación de los artículos 217 y 329 como vienen en la ponencia. Proyecto de ley 178 de 2016 Cámara, 163 de 2016 ']",aprobado,['Dic 21 d 2016'],['Proyecto de Ley'],['Cámara de Representantes'],[],97,0,OK
0,https://congresovisible.uniandes.edu.co/votaciones/14324/,"['“Aprobación del artículo 175 con proposición aditiva. Proyecto de ley 178 de 2016 Cámara, 163 de 2016 ']",aprobado,['Dic 21 d 2016'],['Proposiciones'],['Cámara de Representantes'],[],100,0,OK
0,https://congresovisible.uniandes.edu.co/votaciones/14328/,"['“Aprobación de las proposiciones que buscaban modificar el artículo 205, Proyecto de ley 178 de 2016 Cámara, 163 de 2016 ']",denegado,['Dic 21 d 2016'],['Proposiciones'],['Cámara de Representantes'],[],101,0,OK
0,https://congresovisible.uniandes.edu.co/votaciones/14329/,"['“Aprobación del artículo 205 y 207 como venían en la ponencia. Proyecto de ley 178 de 2016 Cámara, 163 de 2016 ']",aprobado,['Dic 21 d 2016'],['Proyecto de Ley'],['Cámara de Representantes'],[],97,0,OK
0,https://congresovisible.uniandes.edu.co/votaciones/14342/,"['“Aprobación el artículo 1º como venía en la ponencia. Proyecto de ley 178 de 2016 Cámara, 163 de 2016 ']",aprobado,['Dic 21 d 2016'],['Proyecto de Ley'],['Cámara de Representantes'],[],99,0,OK
0,https://congresovisible.uniandes.edu.co/votaciones/14343/,"['“Aprobación de las proposiciones sobre el artículo 180. Proyecto de ley 178 de 2016 Cámara, 163 de 2016 ']",denegado,['Dic 21 d 2016'],['Proposiciones'],['Cámara de Representantes'],[],96,0,OK
0,https://congresovisible.uniandes.edu.co/votaciones/14346/,"['“Aprobación del bloque de artículos nuevos, Proyecto de ley 178 de 2016 Cámara, 163 de 2016 ']",denegado,['Dic 21 d 2016'],['Proposiciones'],['Cámara de Representantes'],[],89,0,OK
0,https://congresovisible.uniandes.edu.co/votaciones/14347/,"['“Aprobación del bloque de artículos nuevos avalados, Proyecto de ley 178 de 2016 Cámara, 163 de 2016 ']",aprobado,['Dic 21 d 2016'],['Proposiciones'],['Cámara de Representantes'],[],96,0,OK
0,https://congresovisible.uniandes.edu.co/votaciones/14348/,"['“Approbación de la proposición del doctor Hernán Penagos y 80 firmas más sobre el tema cafetero. Proyecto de ley 178 de 2016 Cámara, 163 de 2016 ']",aprobado,['Dic 21 d 2016'],['Proposiciones'],['Cámara de Representantes'],[],97,0,OK
0,https://congresovisible.uniandes.edu.co/votaciones/14349/,"['“Aprobación de la proposición de un nuevo artículo.  Proyecto de ley 178 de 2016 Cámara, 163 de 2016 ']",denegado,['Dic 21 d 2016'],['Proposiciones'],['Cámara de Representantes'],[],88,0,OK
0,https://congresovisible.uniandes.edu.co/votaciones/14297/,"['“Aprobación de los impedimentos de los doctores Díaz Granados Torres, Luis Eduardo Díaz Granados Torres y Gustavo Estupiñán. Proyecto de ley número 178 de 2016, 163 de 2016 Senado.']",denegado,['Dic 20 d 2016'],['Impedimentos'],['Cámara de Representantes'],[],103,57,OK
0,https://congresovisible.uniandes.edu.co/votaciones/14301/,['“Aprobación del articulado sin proposición del Proyecto de ley número 178 de 2016 Cámara.'],aprobado,['Dic 20 d 2016'],['Proyecto de Ley'],['Cámara de Representantes'],[],114,45,OK
